"","reads.in","reads.out"
"F12July10-1_S25_L001_R1_001.fastq.gz",204175,186726
"F12July11-3_S41_L001_R1_001.fastq.gz",153501,143927
"F12July19-7_S34_L001_R1_001.fastq.gz",111935,103513
"F12July2-1_S24_L001_R1_001.fastq.gz",490421,452213
"F12July21-1_S27_L001_R1_001.fastq.gz",206808,194610
"F12June15-1_S18_L001_R1_001.fastq.gz",157421,141890
"F12June21-1_S19_L001_R1_001.fastq.gz",218574,204301
"F12June21-2_S20_L001_R1_001.fastq.gz",341399,309996
"F12June24-3_S21_L001_R1_001.fastq.gz",155480,142342
"F12June25-1_S40_L001_R1_001.fastq.gz",99630,93008
"F12June25-2_S22_L001_R1_001.fastq.gz",117735,85078
"F12June30-2_S23_L001_R1_001.fastq.gz",182449,169930
"F12June8-1_S17_L001_R1_001.fastq.gz",259730,243863
"F12Sept16-4_S36_L001_R1_001.fastq.gz",110584,98405
"F12Sept20-1_S37_L001_R1_001.fastq.gz",162274,140389
"F12Sept22-5_S38_L001_R1_001.fastq.gz",213710,189604
"F12Sept23-2_S39_L001_R1_001.fastq.gz",166247,139464
"F13Aug10-1_S54_L001_R1_001.fastq.gz",146756,137633
"F13Aug12-3_S55_L001_R1_001.fastq.gz",294971,276425
"F13Aug12-4_S56_L001_R1_001.fastq.gz",69436,65395
"F13Aug18-1_S57_L001_R1_001.fastq.gz",180051,167251
"F13Aug18-5_S58_L001_R1_001.fastq.gz",95521,88585
"F13Aug22-1_S59_L001_R1_001.fastq.gz",155012,134345
"F13Aug25-4_S60_L001_R1_001.fastq.gz",174160,164237
"F13Aug8-2_S50_L001_R1_001.fastq.gz",151734,139845
"F13Aug9-3_S8_L001_R1_001.fastq.gz",192412,171655
"F13Aug9-4_S51_L001_R1_001.fastq.gz",174735,164056
"F13Aug9-6_S52_L001_R1_001.fastq.gz",209311,195710
"F13Aug9-7_S53_L001_R1_001.fastq.gz",132914,125042
"F13July10-1_S48_L001_R1_001.fastq.gz",130063,122422
"F13July19-3_S49_L001_R1_001.fastq.gz",149685,140894
"F13June1-1_S44_L001_R1_001.fastq.gz",231910,217224
"F13June17-6_S46_L001_R1_001.fastq.gz",132356,122974
"F13June29-2_S47_L001_R1_001.fastq.gz",238699,219063
"F13June5-1_S45_L001_R1_001.fastq.gz",118633,111186
"F13May31-2_S42_L001_R1_001.fastq.gz",215726,196948
"F13May31-4_S43_L001_R1_001.fastq.gz",344469,320609
"F13Oct2-1_S6_L001_R1_001.fastq.gz",309456,268702
"F13Oct2-2_S7_L001_R1_001.fastq.gz",238506,203185
"F13Sept11-5_S2_L001_R1_001.fastq.gz",174299,156678
"F13Sept19-1_S3_L001_R1_001.fastq.gz",171271,153976
"F13Sept25-3_S4_L001_R1_001.fastq.gz",162588,140257
"F13Sept26-1_S5_L001_R1_001.fastq.gz",213813,189084
"F13Sept3-1_S61_L001_R1_001.fastq.gz",138286,129417
"F13Sept8-1_S62_L001_R1_001.fastq.gz",185621,174185
"F13Sept8-2_S1_L001_R1_001.fastq.gz",191985,172922
"F14Aug09-03_S16_L001_R1_001.fastq.gz",306786,270701
"F14Aug09-04_S17_L001_R1_001.fastq.gz",201583,180775
"F14Aug24-01_S18_L001_R1_001.fastq.gz",138667,122287
"F14Aug24-04_S19_L001_R1_001.fastq.gz",268886,241206
"F14July01-01A_S12_L001_R1_001.fastq.gz",79927,71883
"F14July07-01_S13_L001_R1_001.fastq.gz",153184,137356
"F14July15-01_S14_L001_R1_001.fastq.gz",96962,86648
"F14July15-02_S15_L001_R1_001.fastq.gz",202244,179950
"F14July21-03_S22_L001_R1_001.fastq.gz",250041,222686
"F14June02-01_S9_L001_R1_001.fastq.gz",148126,125566
"F14June05-02_S10_L001_R1_001.fastq.gz",117998,106182
"F14June23-01_S11_L001_R1_001.fastq.gz",81588,73158
"F14Oct01-01_S20_L001_R1_001.fastq.gz",176780,148585
"F14Oct05-03_S21_L001_R1_001.fastq.gz",145202,122555
"F16Aug20-1A_S25_L001_R1_001.fastq.gz",237627,211415
"F16July12-3_S23_L001_R1_001.fastq.gz",194736,170951
