"","reads.in","reads.out"
"SRR27755254_R1_001.fastq.gz",268583,246963
"SRR27755267_R1_001.fastq.gz",332712,294593
"SRR27755268_R1_001.fastq.gz",348926,311498
"SRR27755269_R1_001.fastq.gz",16066,14381
"SRR27755270_R1_001.fastq.gz",348492,233141
"SRR27755271_R1_001.fastq.gz",151010,117159
"SRR27755272_R1_001.fastq.gz",223594,170970
"SRR27755273_R1_001.fastq.gz",194540,130116
"SRR27755274_R1_001.fastq.gz",241712,185548
"SRR27755275_R1_001.fastq.gz",428799,281265
"TU22JUN19-01A_S41_L001_R1_001.fastq.gz",451022,323312
"WADE-002-002_S25_L001_R1_001.fastq.gz",132808,39180
"WADE-002-004_S11_L001_R1_001.fastq.gz",130642,36287
"WADE-002-005_S32_L001_R1_001.fastq.gz",173215,48513
"WADE-002-010_S1_L001_R1_001.fastq.gz",204400,61940
"WADE-002-011_S2_L001_R1_001.fastq.gz",282780,86896
"WADE-002-014_S27_L001_R1_001.fastq.gz",262442,73851
"WADE-002-014-nc_S40_L001_R1_001.fastq.gz",175725,50051
"WADE-002-016_S4_L001_R1_001.fastq.gz",88743,25430
"WADE-002-019-nc_S41_L001_R1_001.fastq.gz",250409,67120
"WADE-002-024_S26_L001_R1_001.fastq.gz",191962,54238
"WADE-002-024-nc_S39_L001_R1_001.fastq.gz",122262,37571
"WADE-002-027_S6_L001_R1_001.fastq.gz",269689,78878
"WADE-002-028-nc_S42_L001_R1_001.fastq.gz",123690,36176
"WADE-002-029_S7_L001_R1_001.fastq.gz",174780,52441
"WADE-002-032_S8_L001_R1_001.fastq.gz",135219,40728
"WADE-002-039_S9_L001_R1_001.fastq.gz",211391,63836
"WADE-002-040_S10_L001_R1_001.fastq.gz",177074,53724
"WADE-002-042_S28_L001_R1_001.fastq.gz",133465,36063
"WADE-002-044_S12_L001_R1_001.fastq.gz",91257,25367
"WADE-002-046_S29_L001_R1_001.fastq.gz",146710,36248
"WADE-002-047-rep_S13_L001_R1_001.fastq.gz",114530,30717
"WADE-002-049_S30_L001_R1_001.fastq.gz",1316165,368431
"WADE-002-054-rep-nc_S43_L001_R1_001.fastq.gz",170903,43048
"WADE-002-056-rep-nc_S44_L001_R1_001.fastq.gz",89157,19984
"WADE-002-060-rep_S20_L001_R1_001.fastq.gz",81307,20277
"WADE-002-063-rep-nc_S45_L001_R1_001.fastq.gz",91205,24059
"WADE-002-070_S16_L001_R1_001.fastq.gz",31890,8754
"WADE-002-072_S14_L001_R1_001.fastq.gz",198798,55707
"WADE-002-073_S15_L001_R1_001.fastq.gz",177364,50647
"WADE-002-074_S17_L001_R1_001.fastq.gz",195011,58441
"WADE-002-075_S21_L001_R1_001.fastq.gz",204977,58612
"WADE-002-076_S22_L001_R1_001.fastq.gz",76860,21430
"WADE-002-077_S23_L001_R1_001.fastq.gz",5596,458
"WADE-002-078_S18_L001_R1_001.fastq.gz",159705,45525
