LabID,FieldID,Rep,Sample_Type,Weight_g ,IndID_SDZWA,Extraction_Notes,Sample_Color,DNA_Concentration_Extract_(ng/uL),PCR1_success_training,PCR1_success_0702,PCR1_success_0715,PCR1_success_0716,PCR1_success_0718,PCR1_success_0724,PCR1_success_0725,Extract_cleaned,Cleaned_concentration
WADE-002-047,F23JUN25.01A,2,Lyophilized,NA,unk,,Green,14.6,NA,Y,Y,NA,NA,NA,Y,Y,12.6
WADE-002-047,F23JUN25.01A,1,Lyophilized,0.102,unk,,Green,0.845,N,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-048,F23JUL01.07A,2,Lyophilized,NA,unk,,Yellow,12.5,NA,N,N,N,N,NA,N,Y,9.09
WADE-002-048,F23JUL01.07A,1,Lyophilized,0.1,unk,,Yellow,0.724,Y,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-049,F19Sep30.01,1,Lyophilized,0.101,unk,,Green,49.7,Y,NA,NA,N,N,NA,NA,N,NA
WADE-002-050,F20JUL09.2,2,Lyophilized,NA,unk,,Beige,2.63,NA,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-050,F20Jul09.2,1,Lyophilized,0.104,unk,,Beige,0.338,Y,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-051,F29JUL13.02,2,Lyophilized,NA,unk,,Brown,4.92,NA,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-051,F20Jul13.02,1,Lyophilized,0.107,unk,,Brown,0.497,Y,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-052,TF21AUG12.01A,1,Lyophilized,0.104,Unknown transient,,Hair,too low,Y,NA,NA,N,NA,NA,NA,N,NA
WADE-002-052,TF21AUG12.01A,2,Lyophilized,NA,Unknown transient,,Hair,2.44,NA,NA,NA,NA,N,NA,NA,N,NA
WADE-002-053,F21SEP09.02A,1,Lyophilized,0.101,unk,,Beige,3.65,N,NA,NA,NA,NA,NA,Y,Y,0.097
WADE-002-054,F21SEP09.01B,2,Lyophilized,NA,unk,,Green,24.9,NA,N,N,N,N,NA,N,Y,17.2
WADE-002-054,F21SEP09.01B,1,Lyophilized,0.104,unk,,Green,0.27,N,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-055,F21SEP09.03B,1,Lyophilized,0.1,K22,,Beige,2.6,N,NA,NA,NA,NA,NA,N,Y,0.326
WADE-002-056,F21SEA12.01B,2,Lyophilized,NA,K33,,Brown,20.1,NA,N,N,N,N,NA,NA,Y,14.8
WADE-002-056,F21SEP12.01B,1,Lyophilized,0.103,K33,,Brown,0.604,N,NA,NA,NA,NA,NA,NA,N,NA
WADE-002-057,F21SEP15.02A,1,Lyophilized,0.1,unk,,Brown,2.03,N,NA,NA,NA,NA,NA,NA,Y,0.441
WADE-002-058,F21SEP15.03A,2,Lyophilized,NA,unk,,Green,10.4,NA,NA,NA,N,N,NA,N,Y,0.535
WADE-002-058,F21SEP15.03A,1,Lyophilized,0.102,unk,,Green,1.38,N,N,N,NA,NA,NA,NA,N,NA
WADE-002-059,F18Sep23.3 (21),1,Lyophilized,0.1,J26,,Beige,1.64,N,NA,NA,NA,NA,NA,NA,Y,0.207
WADE-002-060,F18Aug18.1 (32),2,Lyophilized,NA,J27,,Beige,41.7,NA,NA,NA,N,NA,NA,N,Y,40
