Sample_no,Sample_name,ID,Year,Month,Day
1,F11Aug04_5,L78,2011,Aug,4
2,F11Aug05_3,L106,2011,Aug,5
3,F11Aug16_4,L85,2011,Aug,16
4,F11Aug16_5,L27,2011,Aug,16
5,F11Aug26_3,L90,2011,Aug,26
6,F11Aug27_3,L54,2011,Aug,27
7,F11Sept8_4,K33,2011,Sep,8
8,F11Sept22_1,L85,2011,Sep,22
9,F11Sept2806A,L88,2011,Sep,28
10,F11Sept2808A,J26,2011,Sep,28
11,F11Oct7_1,J2,2011,Oct,7
12,F11Oct21_5,L106,2011,Oct,21
13,F11July22_1,,2011,Jul,22
14,F11Aug03_2,,2011,Aug,3
15,F11Aug05_1,,2011,Aug,5
16,F11Sept29_1,,2011,Sep,29
17,F12June8_1,J28,2012,Jun,8
18,F12June15_1,J2,2012,Jun,15
19,F12June21_1,J36,2012,Jun,21
20,F12June21_2,J28,2012,Jun,21
21,F12June24_3,J36,2012,Jun,24
22,F12June25_2,L79,2012,Jun,25
23,F12June30_2,J27,2012,Jun,30
24,F12July2_1,J17,2012,Jul,2
25,F12July10_1,J31,2012,Jul,10
26,F12Aug27_1,L103,2012,Aug,27
27,F12July21_1,K20,2012,Jul,21
28,F12Aug11_1,J39,2012,Aug,11
29,F12Aug11_2,J31,2012,Aug,11
30,F12Aug19_3,J26,2012,Aug,19
31,F12Aug22_2,K34,2012,Aug,22
32,F12Aug22_4,J2,2012,Aug,22
33,F12Aug26_3,K25,2012,Aug,26
34,F12July19_7,J19,2012,Jul,19
35,F12Aug31_5,K12,2012,Aug,31
36,F12Sept16_4,L53,2012,Sep,16
37,F12Sept20_1,K26,2012,Sep,20
38,F12Sept22_5,J39,2012,Sep,22
39,F12Sept23_2,K14,2012,Sep,23
40,F12June25_1,,2012,Jun,25
41,F12July11_3,,2012,Jul,11
42,F13May31_2,L87,2013,May,31
43,F13May31_4,J26,2013,May,31
44,F13June1_1,L87,2013,Jun,1
45,F13June5_1,J26,2013,Jun,5
46,F13June17_6,L41,2013,Jun,17
47,F13June29_2,L105,2013,Jun,29
48,F13July10_1,J40,2013,Jul,10
49,F13July19_3,L109,2013,Jul,19
50,F13Aug8_2,L100,2013,Aug,8
51,F13Aug9_4,L100,2013,Aug,9
52,F13Aug9_6,L88,2013,Aug,9
53,F13Aug9_7,L100,2013,Aug,9
54,F13Aug10_1,L54,2013,Aug,10
55,F13Aug12_3,L85,2013,Aug,12
56,F13Aug12_4,K25,2013,Aug,12
57,F13Aug18_1,L100,2013,Aug,18
58,F13Aug18_5,L54,2013,Aug,18
59,F13Aug22_1,L90,2013,Aug,22
60,F13Aug25_4,J2,2013,Aug,25
61,F13Sept3_1,J8,2013,Sep,3
62,F13Sept8_1,J26,2013,Sep,8
63,PosCon_3,POS,NA,NA,NA
64,NegCon,NEG,NA,NA,NA
